sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
0,0,0,0,0,0,0,50458.3
1,0,0,0,0,0,0,50416.7
2,0,0,0,0,0,0,50375.0
3,0,0,0,0,0,0,50375.0
4,0,0,0,0,0,0,50833.3
5,0,0,0,0,0,0,50416.7
6,1,0,0,0,0,0,50375.0
7,1,0,0,0,0,0,50291.7
8,1,0,0,0,0,0,50291.7
9,0,0,0,0,0,0,50333.3
10,1,0,0,0,0,0,50625.0
11,0,0,0,0,0,0,50333.3
12,1,0,0,0,0,0,50375.0
13,1,0,0,0,0,0,50333.3
14,0,0,0,0,0,0,50375.0
15,0,0,0,0,0,0,51083.3
16,1,0,0,0,0,0,53125.0
17,1,0,0,0,0,0,53625.0
18,0,0,0,0,0,0,51875.0
19,0,0,0,0,0,0,50291.7
20,0,0,0,0,0,0,50208.3
21,1,0,0,0,0,0,51041.7
22,1,0,0,0,0,0,68625.0
23,1,0,0,0,0,0,53083.3
24,1,0,0,0,0,0,53625.0
25,0,0,0,0,0,0,54750.0
26,0,0,0,0,0,0,54458.3
27,1,0,0,0,0,0,53875.0
28,1,0,0,0,0,0,50916.7
29,1,0,0,0,0,0,50500.0
30,1,0,0,0,0,0,50416.7
31,0,0,0,0,0,0,50416.7
32,0,0,0,0,0,0,50416.7
33,0,0,0,0,0,0,50291.7
34,1,0,0,0,0,0,50416.7
35,1,0,0,0,0,0,50375.0
36,0,0,0,0,0,0,50375.0
37,0,0,0,0,0,0,50375.0
38,0,0,0,0,0,0,50375.0
39,1,0,0,0,0,0,50375.0
40,1,0,0,0,0,0,50583.3
41,0,0,0,0,0,0,50375.0
42,1,0,0,0,0,0,50291.7
43,0,0,0,0,0,0,50458.3
44,0,0,0,0,0,0,50458.3
45,0,0,0,0,0,0,50291.7
46,0,0,0,0,0,0,50416.7
47,1,0,0,0,0,0,50458.3
48,1,0,0,0,0,0,50416.7
49,0,0,0,0,0,0,50916.7
50,1,0,0,0,0,0,50333.3
51,1,0,0,0,0,0,50458.3
52,1,0,0,0,0,0,50208.3
53,0,0,0,0,0,0,50333.3
54,1,0,0,0,0,0,50625.0
55,0,0,0,0,0,0,50375.0
56,0,0,0,0,0,0,50375.0
57,0,0,0,0,0,0,50416.7
58,0,0,0,0,0,0,50416.7
59,1,0,0,0,0,0,50416.7
60,0,0,0,0,0,0,50416.7
61,1,0,0,0,0,0,50333.3
62,1,0,0,0,0,0,50416.7
63,0,0,0,0,0,0,50250.0
64,1,0,0,0,0,0,50458.3
65,1,0,0,0,0,0,50333.3
66,1,0,0,0,0,0,50500.0
67,0,0,0,0,0,0,50416.7
68,1,0,0,0,0,0,50625.0
69,1,0,0,0,0,0,50375.0
70,1,0,0,0,0,0,50333.3
71,0,0,0,0,0,0,50500.0
72,0,0,0,0,0,0,50458.3
73,1,0,0,0,0,0,50458.3
74,0,0,0,0,0,0,50375.0
75,0,0,0,0,0,0,50375.0
76,0,0,0,0,0,0,50375.0
77,0,0,0,0,0,0,50416.7
78,1,0,0,0,0,0,50416.7
79,1,0,0,0,0,0,50416.7
80,1,0,0,0,0,0,50416.7
81,1,0,0,0,0,0,50416.7
82,0,0,0,0,0,0,50541.7
83,0,0,0,0,0,0,50333.3
84,0,0,0,0,0,0,50333.3
85,1,0,0,0,0,0,50375.0
86,1,0,0,0,0,0,50375.0
87,0,0,0,0,0,0,50375.0
88,0,0,0,0,0,0,50458.3
89,1,0,0,0,0,0,50333.3
90,0,0,0,0,0,0,50333.3
91,0,0,0,0,0,0,50333.3
92,0,0,0,0,0,0,50458.3
93,1,0,0,0,0,0,50375.0
94,1,0,0,0,0,0,50333.3
95,1,0,0,0,0,0,50625.0
96,1,0,0,0,0,0,50375.0
97,1,0,0,0,0,0,50333.3
98,0,0,0,0,0,0,50291.7
99,0,0,0,0,0,0,50458.3
100,1,0,0,0,0,0,50333.3
101,1,0,0,0,0,0,50291.7
102,1,0,0,0,0,0,50458.3
103,0,0,0,0,0,0,50458.3
104,1,0,0,0,0,0,50416.7
105,0,0,0,0,0,0,50291.7
106,0,0,0,0,0,0,50375.0
107,1,0,0,0,0,0,50333.3
108,1,0,0,0,0,0,50500.0
109,0,0,0,0,0,0,50541.7
110,1,0,0,0,0,0,50375.0
111,0,0,0,0,0,0,50333.3
112,0,0,0,0,0,0,50458.3
113,1,0,0,0,0,0,51291.7
114,1,0,0,0,0,0,52583.3
115,1,0,0,0,0,0,52375.0
116,1,0,0,0,0,0,50250.0
117,1,0,0,0,0,0,50333.3
118,1,0,0,0,0,0,50375.0
119,1,0,0,0,0,0,50750.0
