sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
0,0,738,9569,10307,256,1024,50750.0
1,0,738,9569,10307,256,1024,50791.7
2,0,738,9569,10307,256,1024,50708.3
3,0,738,9569,10307,256,1024,55000.0
4,0,738,9569,10307,256,1024,52291.7
5,0,738,9569,10307,256,1024,50625.0
6,1,673,9486,10159,256,1024,50791.7
7,1,683,9529,10212,256,1024,50708.3
8,1,671,9572,10243,256,1024,50666.7
9,0,738,9569,10307,256,1024,50791.7
10,1,683,9615,10298,256,1024,53375.0
11,0,738,9569,10307,256,1024,50625.0
12,1,681,9602,10283,256,1024,50666.7
13,1,675,9578,10253,256,1024,50666.7
14,0,738,9569,10307,256,1024,50708.3
15,0,738,9569,10307,256,1024,50583.3
16,1,687,9639,10326,256,1024,50666.7
17,1,671,9495,10166,256,1024,50625.0
18,0,738,9569,10307,256,1024,50625.0
19,0,738,9569,10307,256,1024,50666.7
20,0,738,9569,10307,256,1024,50666.7
21,1,683,9527,10210,256,1024,50625.0
22,1,685,9566,10251,256,1024,50583.3
23,1,670,9586,10256,256,1024,50583.3
24,1,679,9483,10162,256,1024,50625.0
25,0,738,9569,10307,256,1024,50625.0
26,0,738,9569,10307,256,1024,50625.0
27,1,668,9538,10206,256,1024,57166.7
28,1,682,9555,10237,256,1024,50625.0
29,1,691,9479,10170,256,1024,50833.3
30,1,673,9478,10151,256,1024,50750.0
31,0,738,9569,10307,256,1024,50750.0
32,0,738,9569,10307,256,1024,50666.7
33,0,738,9569,10307,256,1024,53625.0
34,1,673,9503,10176,256,1024,54833.3
35,1,665,9505,10170,256,1024,60750.0
36,0,738,9569,10307,256,1024,54708.3
37,0,738,9569,10307,256,1024,53541.7
38,0,738,9569,10307,256,1024,52375.0
39,1,680,9551,10231,256,1024,54125.0
40,1,668,9525,10193,256,1024,54708.3
41,0,738,9569,10307,256,1024,54625.0
42,1,680,9551,10231,256,1024,54833.3
43,0,738,9569,10307,256,1024,55041.7
44,0,738,9569,10307,256,1024,54875.0
45,0,738,9569,10307,256,1024,54708.3
46,0,738,9569,10307,256,1024,54875.0
47,1,683,9553,10236,256,1024,54958.3
48,1,676,9543,10219,256,1024,54750.0
49,0,738,9569,10307,256,1024,54750.0
50,1,680,9608,10288,256,1024,55458.3
51,1,685,9500,10185,256,1024,54833.3
52,1,672,9500,10172,256,1024,52375.0
53,0,738,9569,10307,256,1024,53291.7
54,1,684,9491,10175,256,1024,54583.3
55,0,738,9569,10307,256,1024,54333.3
56,0,738,9569,10307,256,1024,54291.7
57,0,738,9569,10307,256,1024,54333.3
58,0,738,9569,10307,256,1024,54208.3
59,1,693,9516,10209,256,1024,54750.0
60,0,738,9569,10307,256,1024,54375.0
61,1,680,9562,10242,256,1024,55166.7
62,1,685,9621,10306,256,1024,53958.3
63,0,738,9569,10307,256,1024,54500.0
64,1,668,9548,10216,256,1024,52958.3
65,1,664,9531,10195,256,1024,52250.0
66,1,674,9492,10166,256,1024,54375.0
67,0,738,9569,10307,256,1024,53375.0
68,1,667,9587,10254,256,1024,54250.0
69,1,689,9524,10213,256,1024,52208.3
70,1,673,9505,10178,256,1024,51375.0
71,0,738,9569,10307,256,1024,53875.0
72,0,738,9569,10307,256,1024,53625.0
73,1,679,9492,10171,256,1024,53708.3
74,0,738,9569,10307,256,1024,53916.7
75,0,738,9569,10307,256,1024,55166.7
76,0,738,9569,10307,256,1024,54041.7
77,0,738,9569,10307,256,1024,52625.0
78,1,682,9613,10295,256,1024,50666.7
79,1,682,9534,10216,256,1024,51833.3
80,1,676,9526,10202,256,1024,54458.3
81,1,693,9566,10259,256,1024,54291.7
82,0,738,9569,10307,256,1024,54291.7
83,0,738,9569,10307,256,1024,54291.7
84,0,738,9569,10307,256,1024,54375.0
85,1,682,9554,10236,256,1024,54291.7
86,1,686,9552,10238,256,1024,54333.3
87,0,738,9569,10307,256,1024,54500.0
88,0,738,9569,10307,256,1024,54625.0
89,1,673,9481,10154,256,1024,54458.3
90,0,738,9569,10307,256,1024,54208.3
91,0,738,9569,10307,256,1024,54458.3
92,0,738,9569,10307,256,1024,54625.0
93,1,678,9546,10224,256,1024,54916.7
94,1,691,9644,10335,256,1024,54583.3
95,1,688,9549,10237,256,1024,54833.3
96,1,684,9500,10184,256,1024,54958.3
97,1,692,9513,10205,256,1024,54375.0
98,0,738,9569,10307,256,1024,52875.0
99,0,738,9569,10307,256,1024,52958.3
100,1,683,9519,10202,256,1024,52916.7
101,1,688,9570,10258,256,1024,55541.7
102,1,668,9509,10177,256,1024,52625.0
103,0,738,9569,10307,256,1024,52625.0
104,1,680,9542,10222,256,1024,52791.7
105,0,738,9569,10307,256,1024,52708.3
106,0,738,9569,10307,256,1024,52458.3
107,1,686,9451,10137,256,1024,52541.7
108,1,691,9536,10227,256,1024,52458.3
109,0,738,9569,10307,256,1024,52666.7
110,1,684,9447,10131,256,1024,52666.7
111,0,738,9569,10307,256,1024,53625.0
112,0,738,9569,10307,256,1024,63000.0
113,1,684,9608,10292,256,1024,54958.3
114,1,676,9525,10201,256,1024,54750.0
115,1,683,9473,10156,256,1024,54458.3
116,1,680,9587,10267,256,1024,54333.3
117,1,672,9609,10281,256,1024,54291.7
118,1,689,9548,10237,256,1024,54125.0
119,1,686,9629,10315,256,1024,54375.0
120,1,683,9520,10203,256,1024,54375.0
